,text
2272,"Right, no one even hardly mentioned what the Israelites were saying. <br>All I saw was the native arguing about how it’s his land. Which yes, you were here first. But now others also live here and have for generations. <br>We can’t undo what’s been done, just acknowledge it and try to be better"
2273,Because their using a company and algorithm that price fixes rent the company just got charged by doj hope some slum lords get charged to
2274,"The year after year endless cycle of reminiscing on the past while worrying about the future, therefore not appreciating the present."
2275,Those blacks were super racist for no reason
2276,All nations are failing women because Christianity is the religion that has been shaping the world for a while now and Christianity has women subjugated to the man.
2277,You are a very brave and good women. I hope that your truths help hit home to those in power to bring justice and we all need to clean society. Don’t look the other way when someone is asking for help
2278,"You want to know why Mexicans work hard as fu,ck because they are drunk or high as fu,ck"
2279,thats why ur homeless LOL
2280,"UK has been taken over by big supermarkets,There are no longer local markets anymore,that is the problem."
2281,The most important part of the loan forgiveness actually is that it caps monthly payment to 5% of income and will forgive all debt after 10 years instead of 20
2282,Is it me or i just ignore someone who bullied me before whenever they see me?..
2283,It’s almost like you shouldn’t have kids if you’re below the poverty line 🤯 can’t even afford to live yourself now you’re bringing more kids and more costs to the equation
2284,See it s about videoing but zero balls
2285,Man I have huge disdain for this kinda stuff you can see it with videos nowadays were they nothing but videos of women trying to take a advantage of men and all you hear is f that woman you got stick together men because women will take everything a man has... For this to happen with that woman is horrible that guy seriously needs his ass kicked hard..
2286,"<a href=""https://www.youtube.com/watch?v=wf03e-XSdSU&amp;t=490"">8:10</a> respectful rates? No one can even keep a job for a year- YOUR LUCKY IF YOU KEEP IT A MONTH!<br><br>Having wailing hellspawns who’s first instinct is to call upon EVERY PREDATOR in a mile radius to football pike it. Legit seen that happen before it’s fucked."
2287,"That&#39;s exactly what happens in schools. A bully picks on you until you can&#39;t stand it anymore and you punch the bully in the face for what he&#39;s done. <br>Then you get in trouble for starting a fight. The school protects the bully because he or she could cause damage to the school. <br>I got all my bullys back when I was in high school auto mechanics. Nothing that would kill them, but would be so expensive to repair it wouldn&#39;t be worth it. <br>Sardines in the heater ducts or behind the back seat. Sand in the crankcase. Drain half the oil out of the rear end. <br>Those are so much more rewarding,  because you get to watch them suffer."
2288,Many of my foreigner friends hate me cuz I&#39;m an Indian..  They call me dirty poor.  Filthy.
2289,"One solution is to reduce 8 billion people. We can not believe that more people will save this world! The Western World tries to reduce carbon dioxide but the rest of the world produces humans like rabbits! Shall the world population rise to maybe 10 billion people, we will 100% destroy our existance!"
2290,"If capitalism works as a system why are there 4 million homeless USA Citizens. We have also failed people here in Canada, time to revisit how we ensure basic needs are met."
2291,"By rhe 1970&#39;s the middle class in america had become too big. It stagnated the economy. It&#39;s been systematically destroyed by the government. Stagnation of wages, no more pensions, lower taxes for wealthy. Reaganomics was a fkn disaster. The middle class has shrunk 12- 15 % since 1971. But remember the population has increased about 100 million, which means america has alot of poor people. Poor people need credit, poor people need loans. The &quot;trickle down theory&quot; was never intended to work, it was just the narritive that was pushed for the people to believe in."
